Concurrency,Req/sec
1,868.9456807328228
2,1241.0910720223558
3,1439.5139669368975
4,1557.3447648581896
5,1631.42891947219
6,1679.257511794744
7,1710.1937333256235
8,1729.6977691484194
9,1741.164826500344
10,1746.814105410434
11,1748.155109123661
12,1746.2485137768983
13,1741.8599597088514
14,1735.5547508029665
15,1727.758350767776
16,1718.7962652067204
17,1708.9210600147592
18,1698.3311063820045
19,1687.1838617531423
20,1675.6054565157256
21,1663.6977302345967
22,1651.5434738031274
23,1639.2103880701486
24,1626.754110042308
25,1614.2205522164315
26,1601.6477294454353
27,1589.067198966924
28,1576.5052052711055
29,1563.9835975133994
30,1551.5205700303177
31,1539.131264102651
32,1526.828260020039
33,1514.6219817751596
34,1502.5210316903413
35,1490.5324684898856
36,1478.662039449201
37,1466.9143750420444
38,1455.293152799882
39,1443.801235768952
40,1432.4407899098894
41,1421.2133839642618
42,1410.1200746615107
43,1399.161479620579
44,1388.33783988399
45,1377.6490736863504
46,1367.0948227871324
47,1356.6744924760742
48,1346.3872861783973
49,1336.232235438284
50,1326.2082259363908
51,1316.3140200956345
52,1306.5482767451256
53,1296.9095682417744
54,1287.3963953902366
55,1278.0072004524607
56,1268.740378496493
57,1259.5942872990743
58,1250.5672559867842
59,1241.657592575224
60,1232.8635905442081
61,1224.183534568541
62,1215.615705508252
63,1207.1583847486422
64,1198.8098579689172
65,1190.568418408173
66,1182.4323696888737
67,1174.4000282504921
68,1166.4697254395098
69,1158.639809296351
70,1150.9086460749318
71,1143.2746215262503
72,1135.7361419737051
73,1128.2916352045968
74,1120.9395511993987
75,1113.678362717895
76,1106.5065657590876
77,1099.42267990984
78,1092.425248595529
79,1085.5128392444776
80,1078.6840433766197
81,1071.937476625675
82,1065.2717787030836
83,1058.6856133110327
84,1052.177668011089
85,1045.7466540542482
86,1039.3913061775454
87,1033.110382371834
88,1026.90266362481
89,1020.7669536429137
90,1014.7020785553542
91,1008.7068866031226
92,1002.780247815558
93,996.9210536767357
94,991.1282167836976
95,985.4006704983176
96,979.7373685943867
97,974.1372849013268
98,968.5994129457791
99,963.1227655921626
100,957.7063746831733
101,952.3492906810757
102,947.050582310538
103,941.8093362036601
104,936.6246565477704
105,931.495664736487
106,926.4214990244697
107,921.4013141862378
108,916.4342811793654
109,911.5195868123228
110,906.6564334171924
111,901.8440385274413
112,897.0816345609074
113,892.3684685081203
114,887.7038016260494
115,883.0869091373552
116,878.5170799351878
117,873.9936162935675
118,869.5158335833593
119,865.0830599938381
120,860.6946362598333
121,856.3499153944238
122,852.0482624271482
123,847.7890541476854
124,843.5716788549491
125,839.3955361115432
126,835.260036503502
127,831.1646014052573
128,827.1086627497452
129,823.091662803583
130,819.1130539472302
131,815.1722984600519
132,811.2688683101971
133,807.4022449492069
134,803.5719191112619
135,799.7773906169817
136,796.0181681816853
137,792.2937692280228
138,788.6037197028916
139,784.9475538985414
140,781.3248142777858
141,777.7350513032274
142,774.1778232704098
143,770.6526961448124
144,767.1592434025965
145,763.6970458750238
146,760.26569159646
147,756.8647756558835
148,753.493900051815
149,750.1526735505921
150,746.8407115479077
151,743.5576359335372
152,740.3030749591755
153,737.0766631093164
154,733.8780409750932
155,730.7068551310173
156,727.5627580145393
157,724.4454078083692
158,721.354468325484
159,718.2896088967624
160,715.2505042611791
161,712.2368344584979
162,709.2482847244041
163,706.2845453880122
164,703.3453117716978
165,700.4302840931882
166,697.539167369866
167,694.6716713252224
168,691.8275102974143
169,689.0064031498707
170,686.208073183898
171,683.4322480532365
172,680.6786596805194
173,677.947044175589
174,675.2371417556222
175,672.5486966670246
176,669.881457109046
177,667.2351751590794
178,664.6096066995984
179,662.0045113466973
180,659.4196523801909
181,656.8547966752386
182,654.3097146354559
183,651.7841801274744
184,649.2779704169207
185,646.7908661057728
186,644.322651071068
187,641.8731124049226
188,639.4420403558395
189,637.0292282712663
190,634.6344725413758
191,632.2575725440439
192,629.8983305909874
193,627.5565518750451
194,625.2320444185643
195,622.9246190228752
196,620.6340892188203
197,618.3602712183207
198,616.1029838669483
199,613.8620485974851
200,611.6372893844436
201,609.4285326995279
202,607.2356074680097
203,605.0583450260046
204,602.8965790786198
205,600.7501456589582
206,598.6188830879582
207,596.502631935048
208,594.4012349795983
209,592.3145371731517
210,590.242385602415
211,588.1846294529925
212,586.1411199738476
213,584.1117104424732
214,582.0962561307548
215,580.0946142715139
216,578.1066440257107
217,576.1322064502966
218,574.1711644666998
219,572.2233828299273
220,570.2887280982742
221,568.3670686036228
222,566.4582744223206
223,564.5622173466236
224,562.6787708566912
225,560.8078100931227
226,558.9492118300227
227,557.1028544485813
228,555.2686179111626
229,553.4463837358853
230,551.6360349716888
231,549.8374561738707
232,548.0505333800884
233,546.2751540868137
234,544.511207226228
235,542.7585831435543
236,541.0171735748113
237,539.2868716249822
238,537.5675717465906
239,535.8591697186738
240,534.1615626261446
241,532.4746488395332
242,530.7983279951037
243,529.132500975333
244,527.477069889749
245,525.831938056116
246,524.1970099819647
247,522.5721913464552
248,520.9573889825699
249,519.3525108596265
250,517.7574660661052
251,516.1721647927853
252,514.5965183161827
253,513.0304389822832
254,511.47384019056415
255,509.92663637830196
256,508.38874300515437
257,506.8600765380172
258,505.34055443614636
259,503.8300951365409
260,502.3286180395827
261,500.83604349492606
262,499.3522927876335
263,497.8772881245512
264,496.4109526209225
265,494.9532102872292
266,493.50398601626296
267,492.06320557041647
268,490.6307955691929
269,489.206683476929
270,487.79079759072664
271,486.38306702859074
272,484.9834217177663
273,483.59179238327454
274,482.2081105366402
275,480.83230846481075
276,479.464319219259
277,478.10407660526926
278,476.7515151714025
279,475.40657019913516
280,474.06917769267204
281,472.7392743689252
282,471.4167976476611
283,470.10168564180736
284,468.7938771479202
285,467.49331163680745
286,466.1999292443047
287,464.9136707622019
288,463.6344776293172
289,462.36229192271566
290,461.0970563490693
291,459.83871423615795
292,458.58720952450443
293,457.3424867591461
294,456.104491081537
295,454.8731682215794
296,453.64846448978204
297,452.43032676954294
298,451.21870250955556
299,450.0135397163321
300,448.81478694684813
301,447.62239330130006
302,446.43630841597763
303,445.2564824562474
304,444.0828661096454
305,442.91541057907875
306,441.75406757613
307,440.59878931446826
308,439.44952850335983
309,438.3062383412803
310,437.1688725096234
311,436.03738516650753
312,434.9117309406769
313,433.79186492549434
314,432.67774267302775
315,431.5693201882242
316,430.4665539231739
317,429.36940077145954
318,428.27781806259156
319,427.19176355652746
320,426.11119543827164
321,425.036072312558
322,423.9663531986106
323,422.90199752498347
324,421.84296512447526
325,420.78921622912117
326,419.740711465258
327,418.69741184866183
328,417.65927877975787
329,416.62627403889945
330,415.5983597817182
331,414.57549853453946
332,413.5576531898672
333,412.54478700193226
334,411.536863582307
335,410.53384689558226
336,409.5357012551069
337,408.5423913187897
338,407.55388208495987
339,406.57013888828817
340,405.59112739576597
341,404.6168136027425
342,403.64716382901634
343,402.68214471498527
344,401.7217232178479
345,400.76586660786194
346,399.8145424646523
347,398.8677186735731
348,397.9253634221205
349,396.98744519639496
350,396.05393277761357
351,395.1247952386713
352,394.2000019407494
353,393.2795225299713
354,392.36332693410463
355,391.4513853593092
356,390.5436682869294
357,389.64014647033093
358,388.7407909317808
359,387.84557295937054
360,386.95446410398074
361,386.0674361762876
362,385.1844612438096
363,384.3055116279953
364,383.43055990134934
365,382.55957888459784
366,381.69254164389275
367,380.8294214880521
368,379.9701919658392
369,379.11482686327713
370,378.26330020099914
371,377.41558623163536
372,376.5716594372326
373,375.7314945267105
374,374.8950664333498
375,374.0623503123143
376,373.23332153820564
377,372.4079557026506
378,371.586228611919
379,370.76811628457403
380,369.95359494915283
381,369.14264104187725
382,368.33523120439446
383,367.53134228154715
384,366.7309513191723
385,365.93403556192897
386,365.14057245115373
387,364.3505396227435
388,363.5639149050664
389,362.7806763168988
390,362.00080206538894
391,361.2242705440465
392,360.4510603307583
393,359.6811501858283
394,358.9145190500435
395,358.151146042764
396,357.3910104600365
397,356.63409177273314
398,355.8803696247121
399,355.1298238310026
400,354.38243437601216
401,353.638181411756
402,352.8970452561093
403,352.15900639108054
404,351.4240454611069
405,350.6921432713703
406,349.96328078613465
407,349.23743912710364
408,348.5145995717988
409,347.794743551957
410,347.07785265194883
411,346.3639086072153
412,345.6528933027237
413,344.94478877144326
414,344.23957719283857
415,343.53724089138154
416,342.8377623350815
417,342.14112413403313
418,341.4473090389816
419,340.75629993990583
420,340.06807986461786
421,339.38263197737996
422,338.69993957753763
423,338.0199860981691
424,337.3427551047514
425,336.668230293842
426,335.9963954917763
427,335.32723465338
428,334.66073186069804
429,333.9968713217373
430,333.3356373692243
431,332.6770144593789
432,332.02098717070066
433,331.3675402027702
434,330.716658375065
435,330.06832662578876
436,329.42253001071373
437,328.7792537020378
438,328.13848298725395
439,327.5002032680332
440,326.8644000591205
441,326.23105898724316
442,325.60016579003207
443,324.9717063149554
444,324.3456665182646
445,323.722032463952
446,323.1007903227213
447,322.48192637096867
448,321.86542698977655
449,321.251278663918
450,320.6394679808733
451,320.02998162985716
452,319.4228064008566
453,318.8179291836801
454,318.2153369670186
455,317.61501683751453
456,317.0169559788437
457,316.42114167080626
458,315.8275612884281
459,315.2362023010725
460,314.6470522715615
461,314.06009885530693
462,313.47532979945163
463,312.89273294201934
464,312.31229621107514
465,311.73400762389394
466,311.15785528613924
467,310.5838273910502
468,310.011912218638
469,309.44209813489084
470,308.874373590988
471,308.3087271225219
472,307.7451473487294
473,307.1836229717309
474,306.6241427757777
475,306.066695626508
476,305.5112704702108
477,304.95785633309725
478,304.40644232058077
479,303.8570176165644
480,303.3095714827354
481,302.7640932578684
482,302.22057235713555
483,301.6789982714237
484,301.1393605666596
485,300.6016488831416
486,300.0658529348789
487,299.53196250893797
488,298.9999674647953
489,298.4698577336975
490,297.94162331802835
491,297.4152542906813
492,296.8907407944408
493,296.36807304136755
494,295.8472413121927
495,295.3282359557162
496,294.8110473882129
