Concurrency,Req/sec
1,1080.5430958833713
2,1429.7682749432768
3,1598.1012747084255
4,1694.441770766942
5,1754.925790424649
6,1794.9995114684125
7,1822.3721497506215
8,1841.3207049457421
9,1854.408390816565
10,1863.2645955502078
11,1868.9744252816538
12,1872.288272285729
13,1873.7414817747106
14,1873.7261088293217
15,1872.5357436187644
16,1870.3945032001147
17,1867.476351936906
18,1863.9183162012316
19,1859.8297318009536
20,1855.2988474084643
21,1850.397625782376
22,1845.1852916054918
23,1839.7109917188386
24,1834.0158164190213
25,1828.1343539334948
26,1822.0958991659413
27,1815.925403189446
28,1809.6442260980782
29,1803.2707391237273
30,1796.8208100728664
31,1790.3081976205804
32,1783.7448738056933
33,1777.1412895174508
34,1770.5065943821687
35,1763.848819922003
36,1757.17503293894
37,1750.4914646126977
38,1743.8036196748917
39,1737.1163691489935
40,1730.4340294644348
41,1723.7604302180748
42,1717.098972433129
43,1710.4526788291269
44,1703.8242373472647
45,1697.2160389589951
46,1690.6302106106639
47,1684.068644014777
48,1677.5330208824118
49,1671.0248350960999
50,1664.5454122441263
51,1658.0959268723952
52,1651.6774177561942
53,1645.2908014493744
54,1638.9368843309694
55,1632.6163733378096
56,1626.3298855451953
57,1620.0779567353154
58,1613.8610490741344
59,1607.6795580013418
60,1601.5338184242316
61,1595.4241102946273
62,1589.350663637903
63,1583.3136630945096
64,1577.3132520269528
65,1571.3495362387466
66,1565.4225873462906
67,1559.53244583979
68,1553.679123865141
69,1547.8626077550286
70,1542.0828603343182
71,1536.3398230219893
72,1530.6334177494414
73,1524.963548712832
74,1519.3301039752187
75,1513.7329569326046
76,1508.1719676565253
77,1502.6469841244896
78,1497.1578433484574
79,1491.7043724104951
80,1486.286389413848
81,1480.9037043568514
82,1475.5561199363956
83,1470.2434322869913
84,1464.9654316609328
85,1459.721903054516
86,1454.512626784825
87,1449.3373790211815
88,1444.195932274965
89,1439.0880558512026
90,1434.0135162650006
91,1428.9720776256313
92,1423.9635019908442
93,1418.9875496937361
94,1414.0439796443288
95,1409.132549607813
96,1404.25301646125
97,1399.4051364303814
98,1394.5886653080508
99,1389.8033586556319
100,1385.0489719887237
101,1380.3252609482963
102,1375.631981458356
103,1370.968889871125
104,1366.335743100649
105,1361.732298745676
106,1357.1583152025844
107,1352.6135517690755
108,1348.097768739298
109,1343.6107274910148
110,1339.1521905653783
111,1334.721921739844
112,1330.3196860947012
113,1325.9452500736786
114,1321.598381539035
115,1317.2788498215298
116,1312.986425765624
117,1308.7208817702544
118,1304.4819918254796
119,1300.2695315452995
120,1296.0832781969036
121,1291.9230107266003
122,1287.7885097826645
123,1283.6795577353093
124,1279.5959386939915
125,1275.5374385222322
126,1271.503844850124
127,1267.4949470846996
128,1263.510536418295
129,1259.5504058350634
130,1255.6143501157662
131,1251.7021658409583
132,1247.8136513926945
133,1243.9486069548498
134,1240.1068345121687
135,1236.2881378481216
136,1232.4923225416662
137,1228.719195962994
138,1224.968567268333
139,1221.2402473938803
140,1217.5340490489377
141,1213.8497867082997
142,1210.1872766039623
143,1206.5463367162063
144,1202.9267867640979
145,1199.3284481954668
146,1195.7511441763925
147,1192.1946995802543
148,1188.6589409763728
149,1185.1436966182844
150,1181.6487964316848
151,1178.1740720020682
152,1174.7193565620976
153,1171.2844849787286
154,1167.8692937401188
155,1164.4736209423409
156,1161.0973062759278
157,1157.7401910122703
158,1154.4021179898805
159,1151.0829316005515
160,1147.7824777754195
161,1144.5006039709524
162,1141.2371591548751
163,1137.9919937920488
164,1134.764959830316
165,1131.5559106863243
166,1128.3647012313406
167,1125.1911877770638
168,1122.0352280614495
169,1118.8966812345577
170,1115.7754078444225
171,1112.6712698229635
172,1109.5841304719402
173,1106.5138544489562
174,1103.4603077535198
175,1100.4233577131722
176,1097.4028729696781
177,1094.3987234652955
178,1091.4107804291202
179,1088.4389163635153
180,1085.4830050306255
181,1082.542921438982
182,1079.6185418302016
183,1076.7097436657825
184,1073.8164056139967
185,1070.9384075368866
186,1068.075630477366
187,1065.2279566464229
188,1062.395269410435
189,1059.577453278592
190,1056.7743938904275
191,1053.985978003466
192,1051.21209348098
193,1048.4526292798619
194,1045.7074754386126
195,1042.9765230654414
196,1040.259664326487
197,1037.5567924341494
198,1034.8678016355425
199,1032.1925872010627
200,1029.5310454130715
201,1026.8830735547
202,1024.2485698987657
203,1021.6274336968077
204,1019.01956516824
205,1016.4248654896177
206,1013.8432367840218
207,1011.2745821105576
208,1008.7188054539688
209,1006.175811714366
210,1003.6455066970689
211,1001.127797102561
212,998.6225905165579
213,996.1297954001876
214,993.6493210802795
215,991.1810777397678
216,988.7249764082005
217,986.2809289523599
218,983.8488480669893
219,981.4286472656285
220,979.0202408715529
221,976.6235440088219
222,974.2384725934266
223,971.8649433245456
224,969.5028736759007
225,967.1521818872143
226,964.8127869557695
227,962.4846086280663
228,960.1675673915801
229,957.8615844666156
230,955.5665817982579
231,953.2824820484202
232,951.0092085879852
233,948.7466854890398
234,946.4948375172048
235,944.2535901240537
236,942.0228694396235
237,939.8026022650157
238,937.5927160650849
239,935.3931389612164
240,933.2037997241887
241,931.0246277671253
242,928.855553138526
243,926.6965065153877
244,924.547419196404
245,922.4082230952489
246,920.2788507339402
247,918.1592352362836
248,916.049310321395
249,913.949010297303
250,911.8582700546253
251,909.7770250603241
252,907.7052113515351
253,905.6427655294731
254,903.5896247534076
255,901.5457267347139
256,899.5110097309949
257,897.4854125402741
258,895.4688744952573
259,893.4613354576658
260,891.462735812634
261,889.4730164631789
262,887.4921188247324
263,885.5199848197419
264,883.5565568723335
265,881.601777903041
266,879.655591323598
267,877.7179410317907
268,875.7887714063745
269,873.868027302051
270,871.9556540445037
271,870.0515974254944
272,868.1558036980182
273,866.2682195715155
274,864.3887922071417
275,862.5174692130939
276,860.6541986399906
277,858.7989289763102
278,856.9516091438812
279,855.1121884934257
280,853.280616800157
281,851.4568442594295
282,849.6408214824397
283,847.8324994919761
284,846.0318297182226
285,844.2387639946108
286,842.453254553718
287,840.675254023217
288,838.9047154218732
289,837.1415921555866
290,835.385838013482
291,833.6374071640457
292,831.8962541513042
293,830.1623338910518
294,828.4356016671194
295,826.7160131276873
296,825.0035242816425
297,823.2980914949759
298,821.599671487224
299,819.90822132795
300,818.2236984332661
301,816.5460605623975
302,814.8752658142844
303,813.2112726242226
304,811.554039760547
305,809.9035263213482
306,808.2596917312293
307,806.6224957381014
308,804.9918984100129
309,803.3678601320165
310,801.7503416030736
311,800.139303832991
